Created Date,Attendance Count
2019-07-16,102
2019-07-30,102
2019-07-31,19
2019-08-01,2
2019-08-02,1
2019-08-05,4
2019-08-06,2
2019-08-07,3
2019-08-08,5
2019-08-09,16
2019-08-12,4
2019-08-15,6
2019-08-16,4
2019-08-19,2
2019-08-21,4
2019-08-22,1
2019-08-28,8
2019-08-29,2
2019-09-02,1
2019-09-03,8
2019-09-04,1
2019-09-05,8
2019-09-06,4
2019-09-09,3
2019-09-10,7
2019-09-13,6
2019-09-18,5
2019-09-19,4
2019-09-20,4
2019-09-23,7
2019-09-24,6
2019-09-25,5
2019-09-26,4
2019-09-27,6
2019-09-30,13
2019-10-01,13
2019-10-02,5
2019-10-03,10
2019-10-04,13
2019-10-07,6
2019-10-08,3
2019-10-09,11
2019-10-10,5
2019-10-11,6
2019-10-14,10
2019-10-15,12
2019-10-16,13
2019-10-17,5
2019-10-18,5
2019-10-21,26
2019-10-22,15
2019-10-23,22
2019-10-24,4
2019-10-25,34
2019-10-28,18
2019-10-29,15
2019-10-30,14
2019-10-31,15
2019-11-01,1
2019-11-04,11
2019-11-05,8
2019-11-06,48
2019-11-07,12
2019-11-08,49
2019-11-11,18
2019-11-12,77
2019-11-13,87
2019-11-14,22
2019-11-15,45
2019-11-18,45
