Created Date,Attendance Count
2021-01-19,47
2021-01-20,13
2021-01-21,7
2021-01-24,1
2021-01-25,13
2021-01-26,41
2021-01-27,15
2021-01-28,5
2021-01-29,1
2021-02-01,1
2021-02-02,2
2021-02-03,1
2021-02-04,2
2021-02-05,85
2021-02-07,1
2021-02-08,27
2021-02-09,14
2021-02-10,4
2021-02-11,3
2021-02-12,11
2021-02-15,5
2021-02-16,32
2021-02-17,18
2021-02-18,134
2021-02-19,51
2021-02-20,4
2021-02-21,10
2021-02-22,116
2021-02-23,95
2021-02-24,59
2021-02-25,23
2021-02-26,19
2021-02-27,1
2021-03-01,17
2021-03-02,13
2021-03-03,92
2021-03-04,119
2021-03-05,37
2021-03-06,6
2021-03-07,14
2021-03-08,52
2021-03-09,24
2021-03-10,36
2021-03-11,64
2021-03-12,27
2021-03-13,9
2021-03-14,8
2021-03-15,29
2021-03-16,30
2021-03-17,27
2021-03-18,17
2021-03-19,16
2021-03-22,37
2021-03-23,31
2021-03-24,8
2021-03-25,1
2021-03-29,3
2021-03-30,1
2021-04-01,1
2021-04-09,2
