Created Date,Attendance Count
2022-03-16,70
2022-03-17,30
2022-03-18,37
2022-03-19,3
2022-03-20,1
2022-03-21,15
2022-03-22,4
2022-03-23,2
2022-03-24,157
2022-03-25,14
2022-03-26,4
2022-03-27,1
2022-03-28,23
2022-03-29,10
2022-03-30,8
2022-03-31,1
2022-04-01,2
2022-04-04,8
2022-04-05,3
2022-04-06,5
2022-04-08,5
2022-04-12,3
2022-04-13,3
2022-04-14,2
2022-04-16,1
2022-04-19,3
2022-04-21,9
2022-04-24,1
2022-04-25,2
2022-04-26,3
2022-04-27,3
2022-04-28,4
2022-04-29,48
2022-05-01,1
2022-05-02,2
2022-05-03,13
2022-05-04,7
2022-05-05,52
2022-05-06,15
2022-05-08,3
2022-05-09,14
2022-05-10,5
2022-05-11,6
2022-05-12,3
2022-05-13,2
2022-05-15,1
2022-05-16,5
2022-05-17,5
2022-05-18,6
2022-05-19,2
2022-05-20,1
2022-05-21,1
2022-05-22,1
2022-05-23,1
2022-05-24,2
2022-05-25,2
2022-05-26,76
2022-05-27,35
2022-05-30,12
2022-05-31,32
2022-06-01,1
2022-06-02,1
2022-06-04,1
2022-06-05,1
2022-06-06,14
2022-06-07,30
2022-06-08,22
2022-06-09,10
2022-06-10,35
2022-06-11,3
2022-06-13,16
2022-06-14,12
2022-06-15,4
2022-06-16,20
2022-06-17,6
2022-06-18,3
2022-06-19,2
2022-06-20,8
2022-06-21,4
2022-06-22,3
2022-06-23,1
2022-06-25,1
2022-06-27,1
2022-06-28,3
2022-06-29,1
2022-07-06,2
2022-07-07,1
2022-07-08,1
2022-07-19,1
